Role,Cluster,Type,Skills
assistant project manager,assistant project manager_1,role,"'negotiation', 'property management', 'construction management', 'contract management', 'trade show management'"
assistant service manager,assistant service manager_-1,role,"'cash receipts', 'directing', 'electrical drafting', 'instructional design', 'mentoring', 'natural gas operations', 'organization skills', 'law enforcement', 'progress software', 'sales promotions', 'proposal writing', 'reading comprehension', 'reconciliation', 'solidworks', 'supervision', 'supervisory skills'"
assistant to vice president,assistant to vice president_-1,role,"'american institute of architects (aia)', 'as/400', 'billing', 'bluebeam revu', 'bond trading', 'business writing', 'clerical skills', 'coding', 'medical imaging', 'insurance', 'jd edwards enterpriseone', 'negotiation', 'proposal writing', 'results-oriented', 'request for information (rfi)', 'tax law'"
assistant to vice president,assistant to vice president_0,role,"'construction management', 'contract management', 'property management'"
assistant to vice president,assistant to vice president_1,role,"'project coordination', 'scheduling', 'event planning'"
associate analyst,associate analyst_-1,role,"'computer vision', 'decision trees', 'flask api development', 'multivariate analysis', 'natural language processing (nlp)', 'numpy', 'predictive modeling', 'random forest algorithm', 'scikit-learn'"
associate consultant,associate consultant_-1,role,"'business intelligence (bi)', 'graphql', 'linear regression', 'logistic regression'"
associate data engineer,associate data engineer_-1,role,"'data extraction', 'data interpretation', 'data visualization', 'power bi', 'software as a service (saas)', 'statistical package for the social sciences (spss)', 'sql'"
associate data science engineer,associate data science engineer_-1,role,"'data integration', 'data science', 'natural language processing (nlp)', 'power bi', 'pyspark', 'apache spark', 'sql'"
associate data scientist,associate data scientist_-1,role,"'time series analysis', 'java programming', 'snowflake', 'google cloud platform (gcp)', 'computer programming', 'firebase', 'r programming', 'tableau', 'pytorch', 'sql'"
associate developer,associate developer_-1,role,"'big data analytics', 'data cleansing', 'data handling', 'data warehousing', 'software development life cycle (sdlc)'"
associate fund controller,associate fund controller_-1,role,"'balance sheet preparation', 'derivatives trading', 'equity trading', 'finance', 'fund management', 'government regulations', 'investment management', 'general ledger', 'mergers and acquisitions (m&a)', 'natural language processing', 'web page design', 'accounts payable', 'business process improvement', 'computer programming', 'real estate', 'scheme programming', 'telephone skills'"
associate machine learning engineer,associate machine learning engineer_-1,role,"'chatbot development', 'data arbitration', 'pattern recognition'"
associate market research analyst intern,associate market research analyst intern_-1,role,"'business intelligence (bi)', 'market research', 'predictive analytics', 'customer retention'"
associate medical analyst,associate medical analyst_-1,role,"'linear regression', 'logistic regression'"
associate project engineer,associate project engineer_-1,role,"'linear regression', 'market research', 'data exploration', 'sequential analysis', 'medical devices', 'artificial intelligence'"
associate researcher,associate researcher_-1,role,"'computer vision', 'data science', 'keras', 'matlab', 'natural language processing (nlp)', 'pytorch'"
associate software engineer,associate software engineer_0,role,"'business processes', 'event management'"
associate software engineer,associate software engineer_2,role,"'chemistry', 'mathematics', 'physics', 'simulation'"
associate software engineer,associate software engineer_3,role,"'software developer', 'computer programming', 'progress software', 'r programming'"
associate software engineer,associate software engineer_-1,role,"'functional testing', 'oil industry', 'sql', 'streak crm', 'tableau', 'trello'"
associate software engineer,associate software engineer_1,role,"'hp hardware', 'hp alm quality center', 'hp quicktest professional (qtp)'"
associate software engineer and analyst,associate software engineer and analyst_-1,role,"'data validation', 'data visualization', 'matplotlib', 'method development', 'mongodb', 'plotly'"
associate system engineer intern,associate system engineer intern_-1,role,"'conversational ai', 'gated recurrent unit (gru)', 'hugging face', 'long short-term memory (lstm)', 'natural language processing (nlp)', 'recurrent neural network (rnn)'"
associate systems engineer,associate systems engineer_-1,role,"'vendor management', 'data storage', 'ruby programming', 'cisco', 'data migration', 'technical program management', 'commissioning', 'engineering resource management', 'solution architecture'"
athletic coordinator,athletic coordinator_0,role,'leadership development'
auditor,auditor_-1,role,"'catalog management', 'basic computer skills', 'decision-making', 'policy development', 'cash register operation', 'business process improvement', 'data backup', 'omb circular a-133', 'quickbooks', 'billing', 'finance', 'accounts payable/receivable', 'direction'"
auditor,auditor_0,role,"'conference management', 'agency management', 'contract management', 'fund management'"
auditor,auditor_1,role,"'cashier skills', 'administrative skills', 'clerical skills'"
automation engineer,automation engineer_-1,role,"'microsoft visio', 'operating systems', 'ruby programming', 'devops', 'java programming', 'jenkins ci'"
"automation engineer, intern","automation engineer, intern_-1",role,"'cabling systems', 'conversion rate optimization (cro)', 'direct current (dc)', 'adobe flash', 'functional testing', 'instructional design', 'autodesk inventor', 'motorola systems', 'business process improvement', 'proposal writing', 'pspice', 'renovation', 'scheduling', 'siemens step 7', 'simulation', 'supervision', 'switchgear', 'tendering', 'data validation', 'vhdl', 'visual basic', 'wago codesys'"
"automation engineer, intern","automation engineer, intern_0",role,"'easypower software', 'hvac systems', 'power distribution systems', 'power generation', 'psim software'"
"automation engineer, intern","automation engineer, intern_1",role,"'hp hardware', 'iec 61131 programming', 'intel processors', 'java programming', 'labview', 'matlab', 'computer programming', 'structured programming'"
babysitter,babysitter_0,role,'cpr/first aid certified'
bank clerk,bank clerk_-1,role,"'financial performance', 'financial planning'"
bartender,bartender_-1,role,"'supervision', 'telephone skills', 'transportation logistics', 'microsoft word', 'scheduling', 'form design', 'data entry', 'microsoft publisher', 'time management', 'dispatching', 'sensor technology', 'credit analysis', 'device drivers', 'computer programming', 'quick learner'"
benefits clerk,benefits clerk_-1,role,"'benefits administration', 'data entry', 'feature engineering', 'form design', 'geographic information systems (gis)', 'email communication', 'direct mail marketing', 'meeting management', 'microsoft word', 'record keeping', 'document scanning'"
benefits clerk,benefits clerk_1,role,"'clerical skills', 'office equipment operation', 'telephone skills', 'receptionist duties', 'retail operations'"
benefits clerk,benefits clerk_0,role,"'policy development', 'business process improvement'"
bi engineer,bi engineer_-1,role,"'business intelligence (bi)', 'data analysis expressions (dax)', 'extract, load (etl)', 'jupyter notebook', 'power bi', 'sql', 'sql server management studio (ssms)'"
big data analyst,big data analyst_-1,role,"'big data analytics', 'java', 'data science', 'hadoop distributed file system (hdfs)', 'informatica powercenter', 'java programming', 'mapreduce', 'apache spark', 'talend'"
billing associate,billing associate_0,role,"'accounts payable', 'accruals', 'account balancing', 'balance sheet preparation', 'balance sheets', 'benefits administration', 'billing', 'credit analysis', 'expense reporting', 'finance', 'financial reporting', 'general ledger accounting', 'insurance', 'business correspondence', 'profit and loss (p&l) analysis', 'real estate', 'report generation', 'tax preparation', 'treasury management'"
billing associate,billing associate_-1,role,"'cobol programming', 'dialysis', 'month-end close', 'microsoft powerpoint', 'primary care', 'business process improvement', 'settlements', 'tax law'"
billing associate,billing associate_1,role,"'computer programming', 'microsoft word'"
biomedical engineering technician,biomedical engineering technician_-1,role,"'anatomy knowledge', 'osha regulations', 'it support'"
biomedical engineering technician,biomedical engineering technician_0,role,"'procedure development', 'engineering standards', 'information security'"
biomedical engineering technician,biomedical engineering technician_1,role,"'database servers', 'lan administration', 'tcp/ip networking'"
