Role,Cluster,Type,Skills
aml compliance officer,aml compliance officer_-1,role,"'analytical skills', 'dras', 'lombardi bpm', 'workbench', 'complex problem solving', 'ibm lombardi', 'microsoft excel vlookup'"
aml compliance officer,aml compliance officer_0,role,"'business objects', 'eagle system', 'pega systems', 'eagle accounting system', 'macros'"
aml compliance officer,aml compliance officer_1,role,"'microsoft access', 'microsoft powerpoint', 'microsoft word'"
analyst,analyst_-1,role,"'account management', 'student support', 'tableau', 'grading and evaluation', 'xml', 'google docs', 'geometry', 'procurement', 'seaborn', 'artificial intelligence', 'postgresql', 'presentation skills', 'algebra', 'predictive modeling', 'sql', 'market research', 'technology integration', 'web scraping', 'power bi'"
analyst,analyst_2,role,"'data cleansing', 'data preparation', 'data science', 'data manipulation'"
analyst,analyst_3,role,"'mathematics', 'regression analysis', 'time series analysis', 'quantitative analysis'"
analyst,analyst_1,role,"'embedded c programming', 'r programming', 'microcontroller programming'"
analyst,analyst_0,role,"'tutoring', 'classroom monitoring', 'esl teaching'"
analyst expert,analyst expert_-1,role,"'business intelligence (bi)', 'data science', 'ibm spss', 'power bi', 'retail analytics'"
analyst intern,analyst intern_-1,role,"'business intelligence (bi)', 'graphql', 'linear regression', 'natural language processing (nlp)', 'tableau'"
analyst intern,analyst intern_0,role,"'data visualization', 'keras', 'matplotlib', 'numpy', 'pandas (python library)', 'scikit-learn', 'tensorflow'"
analyst intern,analyst intern_1,role,"'logistic regression', 'objective analysis', 'reinforcement learning'"
analyst support,analyst support_-1,role,"'data visualization', 'matplotlib'"
android developer intern,android developer intern_-1,role,"'java programming', 'postgresql', 'react native'"
application and marketing engineer,application and marketing engineer_-1,role,"'cobol programming', 'goal achievement', 'crystal ball software', 'data visualization', 'interpersonal communication', 'fortran programming', 'lotus notes', 'pascal programming', 'personal computers', 'microsoft powerpoint', 'prolith modeling', 'spc++'"
application development associate,application development associate_-1,role,"'back-end development', 'docker', 'java programming', 'jenkins ci', 'kubernetes', 'linear regression'"
applications specialist,applications specialist_-1,role,"'er/studio', 'access control', 'statistical package for the social sciences (spss)', 'business objects', 'hboc systems', 'minitab', 'facet analysis', 'i-max technology', 'blackboard learning system', 'clarity ppm', 'electronic health records (ehr)', 'ibm cognos', 'pcanywhere'"
applications specialist,applications specialist_1,role,"'microsoft word', 'macess software', 'adobe captivate', 'microsoft powerpoint', 'microsoft visio'"
applications specialist,applications specialist_0,role,"'oracle database', 'idx broker', 'data warehousing'"
area sales executive,area sales executive_-1,role,"'business acumen', 'focus erp', 'negotiation', 'it support', 'numerical analysis'"
assembler/operator,assembler/operator_-1,role,"'quality inspection', 'lean manufacturing', 'mechanical processes', 'protocol execution', 'supervisory skills', 'system integration'"
assembly/ test technician,assembly/ test technician_-1,role,"'labview', 'lean manufacturing'"
assistant accountant,assistant accountant_0,role,"'accounts payable', 'accounts receivable', 'billing', 'cash handling', 'contract management', 'credit analysis', 'finance', 'financial performance', 'financial planning', 'financial reporting', 'general ledger accounting', 'policy development', 'pricing strategy', 'purchasing', 'receiving', 'time management'"
assistant accountant,assistant accountant_-1,role,"'closing procedures', 'erp systems proficiency', 'grant writing', 'novell groupwise', 'mentoring', 'merchandising', 'public speaking', 'reconciliation'"
assistant accountant,assistant accountant_1,role,"'form design', 'instructional design', 'packaging design'"
assistant analyst,assistant analyst_-1,role,"'natural language processing (nlp)', 'nltk', 'production analytics', 'production engineering'"
assistant claim approver,assistant claim approver_0,role,"'accounts payable', 'accruals', 'account balancing', 'balance sheet preparation', 'balance sheets', 'benefits administration', 'billing', 'credit analysis', 'expense reporting', 'finance', 'financial reporting', 'general ledger accounting', 'insurance', 'business correspondence', 'profit and loss (p&l) analysis', 'real estate', 'report generation', 'tax preparation', 'treasury management'"
assistant claim approver,assistant claim approver_-1,role,"'cobol programming', 'dialysis', 'month-end close', 'microsoft powerpoint', 'primary care', 'business process improvement', 'settlements', 'tax law'"
assistant claim approver,assistant claim approver_1,role,"'computer programming', 'microsoft word'"
assistant controller,assistant controller_2,role,"'restaurant management', 'microsoft word', 'office administration', 'office management', 'contract management'"
assistant controller,assistant controller_3,role,"'accounts payable/receivable', 'accounts payable', 'accounts receivable'"
assistant controller,assistant controller_1,role,"'scheduling', 'payroll processing', 'job costing', 'automated payroll processing'"
assistant controller,assistant controller_0,role,"'microsoft powerpoint', 'pr software', 'progress software'"
